Tanggal Publikasi,Nama Produk,Kategori,Harga (Rp),Pendapatan Total(Rp),Pendapatan Livestream(Rp)
2024-12-31,[Special Promo] Glad2Glow 2in1 Makeup Combo Set Perfect cover cushion+Perfect Powder Foundation dengan kandungan skincare mencegah kekusaman dan kulit kering sepanjang hari G2G Concealer Foundation Wajah Extract Mencerahkan Long Lasting Compact Waterproof,Perawatan & Kecantikan > Makeup > Concealer & Foundation,159527.97,4424348779.69,539683629.49
2025-03-07,PAKET DOUBLE CERAH EFFORTLESS-SCORA Sheer Glow Tone Up Cream 30gr 2pcs,Perawatan & Kecantikan > Skincare > Moisturiser & Mist,57505.08,4332318061.53,2362678939.8
2023-02-01,Head and Shoulder Shampoo Cool Menthol 850ml Paket isi 3,Perawatan & Kecantikan > Perawatan & Penataan Rambut > Sampo & Kondisioner,361201.91,4240871599.17,0.0
2025-04-25,Lotion Ln KELUPAS BPOM moisturizing night lotion dan day lotion kulit badan ~ Isi 2pcs,Perawatan & Kecantikan > Keperluan Mandi & Perawatan Tubuh > Cream & Lotion Tubuh,47318.63,4238945245.11,2574727222.8
2022-11-01,Philips | Shaver | Alat Cukur Electric Kumis dan Jenggot Pria | Cukur Tanpa Iritasi dengan CloseCut Teknologi | PQ206/18,Perawatan & Kecantikan > Peralatan Perawatan > Alat Cukur Listrik,253512.15,4171795869.31,1037944114.52
2025-03-28,SKINTIFIC 2pcs Glowing Set / Anti Acne Bundle With Serum-Moisturizer + Serum:Acne Treatment / SKINTIFIC Brightening Whitening / Barrier Repair / Pelembab Wajah,Perawatan & Kecantikan > Skincare > Kit Perawatan Kulit,186148.34,4077951633.54,1986767669.15
2025-03-28,[400ml] WHITE INC Alpha Glowhite Body Lotion Whitening & Moisturizing | Body Cream Body Lotion Menghidrasi Kulit,Perawatan & Kecantikan > Keperluan Mandi & Perawatan Tubuh > Cream & Lotion Tubuh,47837.27,3754938822.46,463248085.32
2022-11-01,ERHAIR Hairgrow Shampoo 370ml - Shampoo Anti Rontok,Perawatan & Kecantikan > Perawatan & Penataan Rambut > Sampo & Kondisioner,177852.79,3581243811.18,15141525.99
2023-04-04,Philips | Nose Trimmer 3000 | Alat Cukur Trimmer Bulu Hidung Alis Telinga Electric | Nyaman Tanpa Tarikan | NT3650/16,Perawatan & Kecantikan > Peralatan Perawatan > Pemangkas & Gunting Rambut,295573.09,3525004650.63,60318220.55
2023-08-27,Scarlett Whitening Eau De Parfum Single Variants 30ml Parfum Wangi Soft Tahan Lama Best Seller - Dreamy / Sweet Memories / Euphoria / Velvet Rouge / Biru Samudra / Banana Fusion / Caramel Latte / Garden of Whisper / Jolly / Wanita / Pria / Unisex,Perawatan & Kecantikan > Parfum > Parfum Uniseks,46260.72,3473440149.48,519121606.53
2024-08-05,BELI 1 GET 1 SMOTH KERATINE 500ML - PINKSMOTH  perawatan Haircare,Perawatan & Kecantikan > Perawatan & Penataan Rambut > Sampo & Kondisioner,37828.4,3421351429.14,576805456.4
2022-11-01,Rejoice Shampoo Haircare Rich Halus Lembut 640ml - isi 2,Perawatan & Kecantikan > Perawatan & Penataan Rambut > Sampo & Kondisioner,128121.04,3371889649.8,68839713.86
2024-12-19,Glowsophy Cover Fit Serum Cushion Long Lasting All Day,Perawatan & Kecantikan > Makeup > Set Makeup,45803.65,3364964801.66,159208041.52
